,id,fk_plan
472,1560,47
473,1561,47
474,1562,47
475,1578,47
476,1579,47
477,1580,47
478,1581,47
479,1631,44
480,1632,44
481,1633,44
482,1634,44
483,1635,44
484,1636,44
485,1637,44
486,1638,44
487,1639,44
488,1645,44
489,1646,44
490,1647,44
491,1648,44
492,1649,44
493,1650,44
494,1666,44
495,1667,44
496,1668,44
497,1669,44
498,1675,46
499,1676,46
500,1677,46
501,1678,46
502,1679,46
503,1680,46
504,1681,46
505,1682,46
506,1683,46
507,1689,46
508,1690,46
509,1691,46
510,1692,46
511,1693,46
512,1694,46
513,1710,46
514,1711,46
515,1712,46
516,1713,46
517,1719,47
518,1720,47
519,1721,47
520,1722,47
521,1723,47
522,1724,47
523,1725,47
524,1726,47
525,1727,47
526,1733,47
527,1734,47
528,1735,47
529,1736,47
530,1737,47
531,1738,47
532,1754,47
533,1755,47
534,1756,47
535,1757,47
536,1799,45
537,1800,45
538,1801,45
539,1802,45
540,1803,45
541,1804,45
542,1805,45
543,1806,45
544,1811,45
545,1812,45
546,1813,45
547,1814,45
548,1827,45
549,1828,45
550,1829,45
551,1830,45
552,1835,46
553,1836,46
554,1837,46
555,1838,46
556,1839,46
557,1840,46
558,1841,46
559,1842,46
560,1847,46
561,1848,46
562,1849,46
563,1850,46
564,1863,46
565,1864,46
566,1865,46
567,1866,46
568,1871,47
569,1872,47
570,1873,47
571,1874,47
572,1875,47
573,1876,47
574,1877,47
575,1878,47
576,1883,47
577,1884,47
578,1885,47
579,1886,47
580,1899,47
581,1900,47
582,1901,47
583,1902,47
584,1950,48
585,1951,48
586,1952,48
587,1953,48
588,1954,48
589,1955,48
590,1956,48
591,1957,48
592,1962,48
593,1963,48
594,1964,48
595,1965,48
596,1978,48
597,1979,48
598,1980,48
599,1981,48
600,1986,48
601,1987,48
602,1988,48
603,1989,48
604,1990,48
605,1991,48
606,1992,48
607,1993,48
608,1998,48
609,1999,48
610,2000,48
611,2001,48
612,2014,48
613,2015,48
614,2016,48
615,2017,48
616,2022,48
617,2024,48
618,2025,48
619,2030,48
620,2032,48
621,2033,48
622,2038,48
623,2040,48
624,2041,48
625,2046,48
626,2048,48
627,2049,48
628,2094,49
629,2095,49
